year,month,date,day_number,exclosure_grazed_control,exclosure_treatment,warming_treatment,plot_designation,forb,Betula,Salix,graminoids,Potentilla,Cerastium,Polygonum,Stellaria,Draba,Pyrola,Viola,Campanula,Equisetum,mosses,lichens,fungi,ercoids
2005,7,26,207,Bashful,Exclosed,Ambient,C,0,34,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2006,6,14,165,Bashful,Exclosed,Ambient,C,0,40,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,8,6,218,Bashful,Exclosed,Ambient,C,0,52,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,23,204,Bashful,Exclosed,Ambient,C,2,91,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0
2009,8,2,214,Bashful,Exclosed,Ambient,C,0,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,23,204,Bashful,Exclosed,Ambient,C,0,87,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,8,17,229,Bashful,Exclosed,Ambient,C,0,122,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,21,203,Bashful,Exclosed,Ambient,C,2,100,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0
2013,7,30,211,Bashful,Exclosed,Ambient,C,1,119,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,7,17,198,Bashful,Exclosed,Ambient,C,1,126,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,7,16,197,Bashful,Exclosed,Ambient,C,0,113,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,14,196,Bashful,Exclosed,Ambient,C,1,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2017,7,22,203,Bashful,Exclosed,Ambient,C,2,80,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2005,7,26,207,Dopey,Exclosed,Ambient,C,0,13,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0
2006,7,28,209,Dopey,Exclosed,Ambient,C,1,31,0,28,0,0,0,0,0,0,0,1,0,1,0,0,0
2007,8,6,218,Dopey,Exclosed,Ambient,C,2,39,1,23,0,0,0,0,0,0,2,0,0,0,0,0,0
2008,7,25,206,Dopey,Exclosed,Ambient,C,3,50,0,38,0,0,0,0,0,0,1,1,1,4,0,0,0
2009,8,2,214,Dopey,Exclosed,Ambient,C,4,46,0,34,0,0,2,0,0,0,1,0,1,4,0,0,0
2010,7,23,204,Dopey,Exclosed,Ambient,C,3,43,0,29,0,0,0,0,0,0,3,0,0,11,0,0,0
2011,8,17,229,Dopey,Exclosed,Ambient,C,1,45,0,37,0,0,0,0,0,0,0,1,0,3,0,0,0
2012,7,23,205,Dopey,Exclosed,Ambient,C,5,81,0,21,0,0,0,0,0,0,0,5,0,8,4,0,0
2013,7,30,211,Dopey,Exclosed,Ambient,C,2,63,0,18,0,0,1,0,0,0,0,1,0,5,0,0,0
2014,7,17,198,Dopey,Exclosed,Ambient,C,1,80,0,8,0,0,0,0,0,0,0,1,0,9,0,0,0
2015,7,16,197,Dopey,Exclosed,Ambient,C,3,74,0,5,0,0,1,0,0,0,0,0,2,3,0,0,0
2016,7,14,196,Dopey,Exclosed,Ambient,C,0,58,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,7,22,203,Dopey,Exclosed,Ambient,C,1,58,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0
2005,7,27,208,Sneezy,Exclosed,Ambient,C,2,15,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0
2006,7,29,210,Sneezy,Exclosed,Ambient,C,12,29,0,8,0,2,3,0,0,0,0,0,7,0,0,0,0
2007,8,7,219,Sneezy,Exclosed,Ambient,C,20,56,0,6,0,0,3,0,0,0,0,0,17,0,0,0,0
2008,7,24,205,Sneezy,Exclosed,Ambient,C,15,53,0,34,0,1,3,0,0,0,0,0,11,1,0,0,0
2009,8,1,213,Sneezy,Exclosed,Ambient,C,6,72,0,36,0,0,6,0,0,0,0,0,0,2,0,0,0
2010,7,22,203,Sneezy,Exclosed,Ambient,C,6,73,0,31,0,0,0,0,0,0,0,0,6,0,0,0,0
2011,8,16,228,Sneezy,Exclosed,Ambient,C,1,84,0,44,0,0,1,0,0,0,0,0,0,1,0,0,0
2012,7,25,207,Sneezy,Exclosed,Ambient,C,1,54,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0
2013,7,31,212,Sneezy,Exclosed,Ambient,C,1,125,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,7,16,197,Sneezy,Exclosed,Ambient,C,1,115,0,22,0,0,1,0,0,0,0,0,0,1,0,0,0
2015,7,14,195,Sneezy,Exclosed,Ambient,C,0,112,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,13,195,Sneezy,Exclosed,Ambient,C,0,90,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,25,206,Sneezy,Exclosed,Ambient,C,0,74,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,26,207,Bashful,Grazed,Ambient,C,0,0,2,10,0,0,0,0,0,0,0,0,0,3,5,0,0
2006,6,14,165,Bashful,Grazed,Ambient,C,0,0,7,22,0,0,0,0,0,0,0,0,0,7,0,0,0
2007,8,6,218,Bashful,Grazed,Ambient,C,0,0,18,26,0,0,0,0,0,0,0,0,0,7,0,0,0
2008,7,23,204,Bashful,Grazed,Ambient,C,1,0,24,40,0,0,1,0,0,0,0,0,0,3,0,0,0
2009,8,2,214,Bashful,Grazed,Ambient,C,1,0,16,34,0,0,0,0,0,0,1,0,0,5,0,0,0
2010,7,23,204,Bashful,Grazed,Ambient,C,3,0,26,32,0,0,2,0,0,0,1,0,0,3,0,0,0
2011,8,17,229,Bashful,Grazed,Ambient,C,2,0,44,25,0,1,0,0,0,0,1,0,0,6,0,0,0
2012,7,21,203,Bashful,Grazed,Ambient,C,0,0,38,28,0,0,0,0,0,0,0,0,0,4,2,0,0
2013,7,30,211,Bashful,Grazed,Ambient,C,0,0,45,31,0,0,0,0,0,0,0,0,0,3,0,0,0
2014,7,16,197,Bashful,Grazed,Ambient,C,1,5,35,21,0,0,0,0,0,0,0,1,0,5,0,0,0
2015,7,16,197,Bashful,Grazed,Ambient,C,1,7,33,22,0,0,0,0,0,0,0,1,0,5,0,0,0
2016,7,14,196,Bashful,Grazed,Ambient,C,0,0,41,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,22,203,Bashful,Grazed,Ambient,C,0,2,47,6,0,0,0,0,0,0,0,0,0,2,0,0,0
2005,7,26,207,Dopey,Grazed,Ambient,C,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,28,209,Dopey,Grazed,Ambient,C,1,0,8,46,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,8,6,218,Dopey,Grazed,Ambient,C,4,0,27,39,0,0,2,1,0,0,0,0,1,0,0,0,0
2008,7,25,206,Dopey,Grazed,Ambient,C,32,0,11,49,0,1,0,3,0,0,0,0,28,4,0,0,0
2009,8,2,214,Dopey,Grazed,Ambient,C,23,0,17,50,0,1,0,1,0,0,0,0,21,9,0,0,0
2010,7,23,204,Dopey,Grazed,Ambient,C,12,0,28,51,0,0,0,4,0,0,0,0,8,9,0,0,0
2011,8,17,229,Dopey,Grazed,Ambient,C,12,0,54,31,0,0,0,0,1,0,0,1,10,1,0,0,0
2012,7,24,206,Dopey,Grazed,Ambient,C,39,0,50,27,0,0,0,0,1,0,0,0,38,6,4,0,0
2013,7,30,211,Dopey,Grazed,Ambient,C,18,0,54,22,0,0,0,0,0,0,0,0,18,0,0,0,0
2014,7,17,198,Dopey,Grazed,Ambient,C,21,0,89,13,0,0,0,1,0,0,0,0,20,1,0,0,0
2015,7,15,196,Dopey,Grazed,Ambient,C,12,0,92,16,0,0,1,0,1,0,0,0,10,0,0,0,0
2016,7,14,196,Dopey,Grazed,Ambient,C,25,0,59,2,0,2,0,1,0,0,0,0,22,1,0,0,0
2017,7,22,203,Dopey,Grazed,Ambient,C,15,0,62,2,0,0,0,0,0,0,0,0,15,0,0,0,0
2005,7,27,208,Sneezy,Grazed,Ambient,C,0,24,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0
2006,7,29,210,Sneezy,Grazed,Ambient,C,2,24,0,27,0,0,0,0,2,0,0,0,0,0,0,0,0
2007,8,7,219,Sneezy,Grazed,Ambient,C,2,52,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0
2008,7,24,205,Sneezy,Grazed,Ambient,C,5,52,0,45,0,0,0,0,0,0,0,0,5,0,0,0,0
2009,8,1,213,Sneezy,Grazed,Ambient,C,0,20,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,22,203,Sneezy,Grazed,Ambient,C,2,34,0,60,0,0,0,0,0,0,0,0,2,0,0,0,0
2011,8,16,228,Sneezy,Grazed,Ambient,C,5,52,0,27,0,0,0,0,0,0,0,0,5,0,0,0,0
2012,7,30,212,Sneezy,Grazed,Ambient,C,11,59,0,65,0,0,0,0,0,0,0,0,11,0,0,0,0
2013,7,31,212,Sneezy,Grazed,Ambient,C,7,60,0,16,0,0,0,0,1,0,0,0,6,0,0,0,0
2014,7,15,196,Sneezy,Grazed,Ambient,C,6,59,0,17,0,0,0,0,0,0,0,0,6,0,0,0,0
2015,7,15,196,Sneezy,Grazed,Ambient,C,20,57,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0
2016,7,13,195,Sneezy,Grazed,Ambient,C,11,64,0,13,0,0,1,0,0,0,0,0,10,0,0,0,0
2017,7,25,206,Sneezy,Grazed,Ambient,C,4,44,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0
