day_number,forb,Betula,Salix,graminoids,Equisetum,mosses
207,0,34,0,0,0,3
165,0,40,0,17,0,0
218,0,52,0,10,0,0
204,2,91,0,13,0,0
214,0,73,0,6,0,0
204,0,87,0,9,0,1
229,0,122,0,7,0,0
203,2,100,0,6,0,0
211,1,119,0,5,0,0
198,1,126,0,2,0,0
197,0,113,0,2,0,0
196,1,72,0,0,0,0
203,2,80,0,0,0,0
207,0,13,0,2,0,12
209,1,31,0,28,0,1
218,2,39,1,23,0,0
206,3,50,0,38,1,4
214,4,46,0,34,1,4
204,3,43,0,29,0,11
229,1,45,0,37,0,3
205,5,81,0,21,0,8
211,2,63,0,18,0,5
198,1,80,0,8,0,9
197,3,74,0,5,2,3
196,0,58,0,10,0,1
203,1,58,0,5,0,3
208,2,15,0,0,1,2
210,12,29,0,8,7,0
219,20,56,0,6,17,0
205,15,53,0,34,11,1
213,6,72,0,36,0,2
203,6,73,0,31,6,0
228,1,84,0,44,0,1
207,1,54,0,38,1,0
212,1,125,0,23,1,0
197,1,115,0,22,0,1
195,0,112,0,21,0,0
195,0,90,0,11,0,0
206,0,74,0,19,0,0
207,0,0,2,10,0,3
165,0,0,7,22,0,7
218,0,0,18,26,0,7
204,1,0,24,40,0,3
214,1,0,16,34,0,5
204,3,0,26,32,0,3
229,2,0,44,25,0,6
203,0,0,38,28,0,4
211,0,0,45,31,0,3
197,1,5,35,21,0,5
197,1,7,33,22,0,5
196,0,0,41,10,0,0
203,0,2,47,6,0,2
207,0,0,3,6,0,0
209,1,0,8,46,0,0
218,4,0,27,39,1,0
206,32,0,11,49,28,4
214,23,0,17,50,21,9
204,12,0,28,51,8,9
229,12,0,54,31,10,1
206,39,0,50,27,38,6
211,18,0,54,22,18,0
198,21,0,89,13,20,1
196,12,0,92,16,10,0
196,25,0,59,2,22,1
203,15,0,62,2,15,0
208,0,24,0,8,0,3
210,2,24,0,27,0,0
219,2,52,0,31,2,0
205,5,52,0,45,5,0
213,0,20,0,51,0,0
203,2,34,0,60,2,0
228,5,52,0,27,5,0
212,11,59,0,65,11,0
212,7,60,0,16,6,0
196,6,59,0,17,6,0
196,20,57,0,4,20,0
195,11,64,0,13,10,0
206,4,44,0,4,4,0
